date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
2021-04-29,1254081,1st innings,0,0,1,0.1,4,0,0,Nan,JC Buttler,4,TA Boult,Yashasvi Jaiswal,4,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,2,0.2,0,0,0,Nan,JC Buttler,0,TA Boult,Yashasvi Jaiswal,4,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,3,0.3,0,0,0,Nan,JC Buttler,0,TA Boult,Yashasvi Jaiswal,4,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,4,0.4,0,0,0,Nan,JC Buttler,0,TA Boult,Yashasvi Jaiswal,4,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,5,0.5,0,0,0,Nan,JC Buttler,0,TA Boult,Yashasvi Jaiswal,4,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,6,0.6,1,0,0,Nan,JC Buttler,1,TA Boult,Yashasvi Jaiswal,5,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,7,1.1,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,5,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,8,1.2,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,5,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,9,1.3,4,0,0,Nan,JC Buttler,4,JJ Bumrah,Yashasvi Jaiswal,9,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,10,1.4,1,0,0,Nan,JC Buttler,1,JJ Bumrah,Yashasvi Jaiswal,10,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,11,1.5,1,0,0,Nan,Yashasvi Jaiswal,1,JJ Bumrah,JC Buttler,11,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,12,1.6,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,11,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,13,2.1,0,0,0,Nan,Yashasvi Jaiswal,0,TA Boult,JC Buttler,11,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,14,2.2,1,0,0,Nan,Yashasvi Jaiswal,1,TA Boult,JC Buttler,12,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,15,2.3,1,0,0,Nan,JC Buttler,1,TA Boult,Yashasvi Jaiswal,13,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,16,2.4,4,0,0,Nan,Yashasvi Jaiswal,4,TA Boult,JC Buttler,17,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,17,2.5,0,0,0,Nan,Yashasvi Jaiswal,0,TA Boult,JC Buttler,17,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,18,2.6,2,0,0,Nan,Yashasvi Jaiswal,2,TA Boult,JC Buttler,19,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,19,3.1,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,19,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,20,3.2,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,19,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,21,3.3,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,19,False,,,Rajasthan Royals,Mumbai Indians
2021-04-29,1254081,1st innings,0,0,22,3.4,0,0,0,Nan,JC Buttler,0,JJ Bumrah,Yashasvi Jaiswal,19,False,,,Rajasthan Royals,Mumbai Indians
