matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254081,Yashasvi Jaiswal,32.0,20.0,20.0,2.0,2.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,32.0,4.0,2.0,0,38.0,,0,,0,,38.0
1254082,AD Russell,45.0,27.0,27.0,4.0,2.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,45.0,8.0,2.0,0,55.0,,0,,0,,55.0
1254082,EJG Morgan,1.0,2.0,2.0,,,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254082,KD Karthik,14.0,10.0,10.0,1.0,1.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,14.0,2.0,1.0,0,17.0,,0,,0,,17.0
1254082,N Rana,15.0,12.0,12.0,1.0,1.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,15.0,2.0,1.0,0,18.0,,0,,0,,18.0
1254082,PJ Cummins,16.0,14.0,14.0,,2.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,16.0,,2.0,0,18.0,,0,,0,,18.0
1254082,RA Tripathi,19.0,17.0,17.0,,2.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,19.0,,2.0,0,21.0,,0,,0,,21.0
1254082,SP Narine,0.0,1.0,1.0,,,4.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254082,Shubman Gill,44.0,38.0,38.0,1.0,3.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,,,,,,,,,,Batsmen,44.0,2.0,3.0,0,49.0,,0,,0,,49.0
1254083,AB de Villiers,3.0,9.0,9.0,,,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,,,,,,,,,Batsmen,3.0,,,0,3.0,,0,,0,,3.0
1254083,CH Gayle,47.0,25.0,25.0,2.0,6.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,,,,,,,,,Batsmen,47.0,4.0,6.0,0,57.0,,0,,0,,57.0
1254083,D Sams,3.0,4.0,4.0,,,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,1.0,26.0,25.0,24.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,5.76,Bowler,3.0,,,0,3.0,25.0,2,0.0,0,27.0,30.0
1254083,DJ Hooda,5.0,9.0,9.0,,,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,6.0,6.0,13.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,13.0,AllRounder,5.0,,,0,5.0,,-6,0.0,0,-6.0,-1.0
1254083,Devdutt Padikkal,7.0,6.0,6.0,1.0,,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,,,,,,,,,Batsmen,7.0,2.0,,0,9.0,,0,,0,,9.0
1254083,GJ Maxwell,0.0,1.0,1.0,,,3.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254083,H Brar,26.0,17.0,17.0,2.0,1.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,3.0,24.0,24.0,21.0,1.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,5.25,AllRounder,26.0,4.0,1.0,0,31.0,75.0,2,8.0,0,85.0,116.0
1254083,HV Patel,31.0,13.0,13.0,2.0,3.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,24.0,24.0,53.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,13.25,AllRounder,31.0,4.0,3.0,0,38.0,,-6,0.0,0,-6.0,32.0
1254083,KL Rahul,93.0,59.0,57.0,5.0,7.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,,,,,,,,,Batsmen,93.0,10.0,7.0,8,118.0,,0,,0,,118.0
1254083,Kyle Jamieson,18.0,11.0,11.0,1.0,1.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,2.0,19.0,18.0,32.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,10.666666666666666,AllRounder,18.0,2.0,1.0,0,21.0,50.0,-4,0.0,0,46.0,67.0
1254083,M Siraj,0.0,1.0,1.0,,,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,19.0,18.0,25.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,8.333333333333334,Bowler,0.0,,,-2,-2.0,,0,0.0,0,0.0,-2.0
1254083,N Pooran,1.0,4.0,3.0,,,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,,,,,,,,,Batsmen,1.0,,,0,1.0,,0,,0,,1.0
1254083,Prabhsimran Singh,7.0,7.0,7.0,,1.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,,,,,,,,,Batsmen,7.0,,1.0,0,8.0,,0,,0,,8.0
1254083,Rajat Patidar,37.0,32.0,32.0,1.0,2.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,,,,,,,,,Batsmen,37.0,2.0,2.0,0,41.0,,0,,0,,41.0
1254083,Shahbaz Ahmed,9.0,11.0,11.0,,1.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,1.0,12.0,12.0,11.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,5.5,AllRounder,9.0,,1.0,0,10.0,25.0,2,0.0,0,27.0,37.0
1254083,Shahrukh Khan,0.0,3.0,3.0,,,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254083,V Kohli,37.0,34.0,34.0,1.0,3.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,,,,,,,,,,Batsmen,37.0,2.0,3.0,0,42.0,,0,,0,,42.0
1254084,AT Rayudu,74.0,28.0,26.0,6.0,4.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,74.0,12.0,4.0,8,98.0,,0,,0,,98.0
1254084,F du Plessis,50.0,28.0,28.0,4.0,2.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,50.0,8.0,2.0,8,68.0,,0,,0,,68.0
1254084,HH Pandya,16.0,7.0,7.0,2.0,,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,16.0,4.0,,0,20.0,,0,,0,,20.0
1254084,JDS Neesham,0.0,1.0,1.0,,,6.0,2nd innings,Mumbai Indians,Chennai Super Kings,,12.0,12.0,26.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,13.0,Bowler,0.0,,,-2,-2.0,,-6,0.0,0,-6.0,-8.0
1254084,KA Pollard,92.0,39.0,36.0,8.0,6.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,2.0,13.0,12.0,12.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,6.0,AllRounder,92.0,16.0,6.0,8,122.0,50.0,2,0.0,0,52.0,174.0
1254084,KH Pandya,32.0,23.0,23.0,2.0,2.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,32.0,4.0,2.0,0,38.0,,0,,0,,38.0
1254084,MM Ali,60.0,36.0,36.0,5.0,5.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,1.0,6.0,6.0,1.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,1.0,AllRounder,60.0,10.0,5.0,8,83.0,25.0,6,0.0,0,31.0,114.0
1254084,Q de Kock,39.0,29.0,29.0,1.0,4.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,39.0,2.0,4.0,0,45.0,,0,,0,,45.0
1254084,R Gaikwad,4.0,4.0,4.0,,1.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,4.0,,1.0,0,5.0,,0,,0,,5.0
1254084,RA Jadeja,28.0,28.0,25.0,,2.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,1.0,18.0,18.0,29.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,9.666666666666666,AllRounder,28.0,,2.0,0,30.0,25.0,-2,0.0,0,23.0,53.0
1254084,RG Sharma,37.0,26.0,25.0,1.0,4.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,37.0,2.0,4.0,0,43.0,,0,,0,,43.0
1254084,SA Yadav,3.0,3.0,3.0,,,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,3.0,,,0,3.0,,0,,0,,3.0
1254084,Suresh Raina,2.0,4.0,4.0,,,0.0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,2.0,,,0,2.0,,0,,0,,2.0
1254081,AS Yadav,,,,,,,,,,,21.0,18.0,37.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,12.333333333333334,Bowler,,,,0,,,-6,0.0,0,-6.0,-6.0
1254081,C Sakariya,,,,,,,,,,,18.0,18.0,19.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,6.333333333333333,Bowler,,,,0,,,0,0.0,0,0.0,0.0
1254081,CH Morris,,,,,,,,,,2.0,24.0,24.0,42.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,10.5,Bowler,,,,0,,50.0,-4,0.0,0,46.0,46.0
1254081,JD Unadkat,,,,,,,,,,,24.0,24.0,33.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,8.25,Bowler,,,,0,,,0,0.0,0,0.0,0.0
1254081,JJ Bumrah,,,,,,,,,,1.0,24.0,24.0,16.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,4.0,Bowler,,,,0,,25.0,6,0.0,0,31.0,31.0
1254081,M Rahman,,,,,,,,,,1.0,21.0,21.0,37.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,10.571428571428571,Bowler,,,,0,,25.0,-4,0.0,0,21.0,21.0
1254081,NM Coulter Nile,,,,,,,,,,,25.0,24.0,36.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,9.0,Bowler,,,,0,,,-2,0.0,0,-2.0,-2.0
1254081,R Tewatia,,,,,,,,,,,19.0,18.0,31.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,10.333333333333334,Bowler,,,,0,,,-4,0.0,0,-4.0,-4.0
1254081,RD Chahar,,,,,,,,,,2.0,24.0,24.0,33.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,8.25,Bowler,,,,0,,50.0,0,0.0,0,50.0,50.0
1254081,TA Boult,,,,,,,,,,1.0,24.0,24.0,37.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,9.25,Bowler,,,,0,,25.0,-2,0.0,0,23.0,23.0
1254082,AR Patel,,,,,,,,,,2.0,24.0,24.0,32.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,8.0,Bowler,,,,0,,50.0,0,0.0,0,50.0,50.0
1254082,Avesh Khan,,,,,,,,,,1.0,24.0,24.0,35.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,8.75,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254082,I Sharma,,,,,,,,,,,24.0,24.0,35.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,8.75,Bowler,,,,0,,,0,0.0,0,0.0,0.0
1254082,K Rabada,,,,,,,,,,,25.0,25.0,31.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,7.44,Bowler,,,,0,,,0,0.0,0,0.0,0.0
1254082,L Yadav,,,,,,,,,,2.0,18.0,18.0,13.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,4.333333333333333,Bowler,,,,0,,50.0,4,0.0,0,54.0,54.0
1254082,MP Stoinis,,,,,,,,,,1.0,6.0,6.0,8.0,0.0,1st innings,Kolkata Knight Riders,Delhi Capitals,8.0,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254083,CJ Jordan,,,,,,,,,,1.0,25.0,24.0,34.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,8.5,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254083,Mohammed Shami,,,,,,,,,,1.0,22.0,22.0,30.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,8.181818181818182,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254083,R Bishnoi,,,,,,,,,,2.0,25.0,24.0,18.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,4.5,Bowler,,,,0,,50.0,4,0.0,0,54.0,54.0
1254083,R Meredith,,,,,,,,,,1.0,20.0,20.0,29.0,0.0,2nd innings,Royal Challengers Bangalore,Punjab Kings,8.7,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254083,YS Chahal,,,,,,,,,,1.0,24.0,24.0,34.0,0.0,1st innings,Punjab Kings,Royal Challengers Bangalore,8.5,Bowler,,,,0,,25.0,0,0.0,0,25.0,25.0
1254084,DL Chahar,,,,,,,,,,,26.0,24.0,37.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,9.25,Bowler,,,,0,,,-2,0.0,0,-2.0,-2.0
1254084,DS Kulkarni,,,,,,,,,,,26.0,24.0,48.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,12.0,Bowler,,,,0,,,-6,0.0,0,-6.0,-6.0
1254084,JJ Bumrah,,,,,,,,,,1.0,27.0,25.0,57.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,13.68,Bowler,,,,0,,25.0,-6,0.0,0,19.0,19.0
1254084,L Ngidi,,,,,,,,,,,24.0,24.0,62.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,15.5,Bowler,,,,0,,,-6,0.0,0,-6.0,-6.0
1254084,RD Chahar,,,,,,,,,,,25.0,24.0,32.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,8.0,Bowler,,,,0,,,0,0.0,0,0.0,0.0
1254084,SM Curran,,,,,,,,,,3.0,25.0,24.0,34.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,8.5,Bowler,,,,0,,75.0,0,0.0,0,75.0,75.0
1254084,SN Thakur,,,,,,,,,,1.0,29.0,25.0,56.0,0.0,2nd innings,Mumbai Indians,Chennai Super Kings,13.44,Bowler,,,,0,,25.0,-6,0.0,0,19.0,19.0
1254084,TA Boult,,,,,,,,,,1.0,25.0,24.0,43.0,0.0,1st innings,Chennai Super Kings,Mumbai Indians,10.75,Bowler,,,,0,,25.0,-4,0.0,0,21.0,21.0
