matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254081,DA Miller,7.0,4.0,4.0,,1.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,7.0,,1.0,0,8.0,,0,,0,,8.0
1254081,JC Buttler,43.0,33.0,32.0,3.0,3.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,43.0,6.0,3.0,0,52.0,,0,,0,,52.0
1254081,KA Pollard,20.0,8.0,8.0,1.0,3.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,,,,,,,,,AllRounder,20.0,2.0,3.0,0,25.0,,0,,0,,25.0
1254081,KH Pandya,41.0,28.0,27.0,2.0,2.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,6.0,6.0,12.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,12.0,Batsmen,41.0,4.0,2.0,0,47.0,,-6,0.0,0,-6.0,41.0
1254081,Q de Kock,80.0,50.0,50.0,2.0,8.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,,,,,,,,,Batsmen,80.0,4.0,8.0,8,100.0,,0,,0,,100.0
1254081,R Parag,9.0,7.0,6.0,,1.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,9.0,,1.0,0,10.0,,0,,0,,10.0
1254081,RG Sharma,15.0,17.0,17.0,1.0,,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,,,,,,,,,Batsmen,15.0,2.0,,0,17.0,,0,,0,,17.0
1254081,S Dube,37.0,32.0,31.0,2.0,2.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,7.0,6.0,10.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,10.0,AllRounder,37.0,4.0,2.0,0,43.0,,-4,0.0,0,-4.0,39.0
1254081,SA Yadav,16.0,10.0,10.0,,3.0,0.0,2nd innings,Mumbai Indians,Rajasthan Royals,,,,,,,,,,Batsmen,16.0,,3.0,0,19.0,,0,,0,,19.0
1254081,SV Samson,43.0,28.0,28.0,,5.0,0.0,1st innings,Rajasthan Royals,Mumbai Indians,,,,,,,,,,Batsmen,43.0,,5.0,0,48.0,,0,,0,,48.0
