ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1216532,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,0,0.0
ipl20,100002,1216532,1st innings,0,118,2/0,0,0,2,0.2,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,2,6.0
ipl20,100003,1216532,1st innings,0,117,3/0,0,0,3,0.3,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,6.0
ipl20,100004,1216532,1st innings,0,116,5/0,0,0,4,0.4,2,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,2,7.5
ipl20,100005,1216532,1st innings,0,115,8/0,0,0,5,0.5,3,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,3,9.6
ipl20,100006,1216532,1st innings,0,114,9/0,0,0,6,0.6,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,9.0
ipl20,100101,1216532,1st innings,0,113,9/0,0,0,7,1.1,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,297433,Jonny Bairstow,0,7.71
ipl20,100102,1216532,1st innings,0,112,13/0,0,0,8,1.2,4,0,0,False,,219889,David Warner,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,297433,Jonny Bairstow,4,9.75
ipl20,100103,1216532,1st innings,0,111,13/0,0,0,9,1.3,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,297433,Jonny Bairstow,0,8.66
ipl20,100104,1216532,1st innings,0,110,14/0,0,0,10,1.4,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,297433,Jonny Bairstow,1,8.4
ipl20,100105,1216532,1st innings,0,109,14/0,0,0,11,1.5,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,219889,David Warner,0,7.63
ipl20,100106,1216532,1st innings,0,108,14/0,0,0,12,1.6,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,550215,Kagiso Rabada,Delhi Capitals,,,219889,David Warner,0,7.0
ipl20,100201,1216532,1st innings,0,107,14/0,0,0,13,2.1,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,0,6.46
ipl20,100202,1216532,1st innings,0,106,14/0,0,0,14,2.2,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,0,6.0
ipl20,100203,1216532,1st innings,0,105,15/0,0,0,15,2.3,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,6.0
ipl20,100204,1216532,1st innings,0,104,15/0,0,0,16,2.4,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,0,5.62
ipl20,100205,1216532,1st innings,0,103,16/0,0,0,17,2.5,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,1,5.64
ipl20,100206,1216532,1st innings,0,102,17/0,0,0,18,2.6,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,5.66
ipl20,100301,1216532,1st innings,0,101,17/0,0,0,19,3.1,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,0,5.36
ipl20,100302,1216532,1st innings,0,100,18/0,0,0,20,3.2,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,1,5.4
ipl20,100303,1216532,1st innings,0,99,19/0,0,0,21,3.3,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,219889,David Warner,1,5.42
ipl20,100304,1216532,1st innings,0,98,20/0,0,0,22,3.4,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,1,5.45
ipl20,100305,1216532,1st innings,0,97,20/0,0,0,23,3.5,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,219889,David Warner,0,5.21
ipl20,100306,1216532,1st innings,0,96,20/0,0,0,24,3.6,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,219889,David Warner,0,5.0
ipl20,100401,1216532,1st innings,0,95,20/0,0,0,25,4.1,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,297433,Jonny Bairstow,0,4.8
ipl20,100402,1216532,1st innings,0,94,21/0,0,0,26,4.2,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,297433,Jonny Bairstow,1,4.84
ipl20,100403,1216532,1st innings,0,93,21/0,0,0,27,4.3,0,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,0,4.66
ipl20,100404,1216532,1st innings,0,92,22/0,0,0,28,4.4,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,1,4.71
ipl20,100405,1216532,1st innings,0,91,23/0,0,0,29,4.5,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,297433,Jonny Bairstow,1,4.75
ipl20,100406,1216532,1st innings,0,90,24/0,0,0,30,4.6,1,0,1,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,1,4.8
ipl20,100501,1216532,1st innings,0,89,25/0,0,0,31,5.1,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,219889,David Warner,1,4.83
ipl20,100502,1216532,1st innings,0,88,26/0,0,0,32,5.2,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,1,4.87
ipl20,100503,1216532,1st innings,0,87,27/0,0,0,33,5.3,1,0,1,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,219889,David Warner,1,4.9
ipl20,100504,1216532,1st innings,0,86,33/0,0,0,34,5.4,6,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,6,5.82
ipl20,100505,1216532,1st innings,0,85,37/0,0,0,35,5.5,4,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,4,6.34
ipl20,100506,1216532,1st innings,0,84,38/0,0,0,36,5.6,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,481979,Anrich Nortje,Delhi Capitals,,,297433,Jonny Bairstow,1,6.33
ipl20,100601,1216532,1st innings,0,83,39/0,0,0,37,6.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,297433,Jonny Bairstow,1,6.32
ipl20,100602,1216532,1st innings,0,82,41/0,0,0,38,6.2,2,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,219889,David Warner,2,6.47
ipl20,100603,1216532,1st innings,0,81,47/0,0,0,39,6.3,6,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,219889,David Warner,6,7.23
ipl20,100604,1216532,1st innings,0,80,48/0,0,0,40,6.4,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,219889,David Warner,1,7.2
ipl20,100605,1216532,1st innings,0,79,50/0,0,0,41,6.5,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,297433,Jonny Bairstow,2,7.31
ipl20,100606,1216532,1st innings,0,78,52/0,0,0,42,6.6,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,297433,Jonny Bairstow,2,7.42
ipl20,100701,1216532,1st innings,0,77,54/0,0,0,43,7.1,2,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,2,7.53
ipl20,100702,1216532,1st innings,0,76,55/0,0,0,44,7.2,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,1,7.5
ipl20,100703,1216532,1st innings,0,75,56/0,0,0,45,7.3,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,297433,Jonny Bairstow,1,7.46
ipl20,100704,1216532,1st innings,0,74,58/0,0,0,46,7.4,2,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,2,7.56
ipl20,100705,1216532,1st innings,0,73,59/0,0,0,47,7.5,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,219889,David Warner,1,7.53
ipl20,100706,1216532,1st innings,0,72,59/0,0,0,48,7.6,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,325012,Marcus Stoinis,Delhi Capitals,,,297433,Jonny Bairstow,0,7.37
ipl20,100801,1216532,1st innings,0,72,60/0,0,0,48,8.0,1,1,1,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,1,7.5
ipl20,100802,1216532,1st innings,0,71,62/0,0,0,49,8.1,2,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,2,7.59
ipl20,100803,1216532,1st innings,0,71,63/0,0,0,49,8.1,1,1,1,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,1,7.71
ipl20,100804,1216532,1st innings,0,70,64/0,0,0,50,8.2,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,1,7.68
ipl20,100805,1216532,1st innings,0,69,70/0,0,0,51,8.3,6,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,6,8.23
ipl20,100806,1216532,1st innings,0,68,71/0,0,0,52,8.4,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,8.19
ipl20,100807,1216532,1st innings,0,67,72/0,0,0,53,8.5,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,219889,David Warner,1,8.15
ipl20,100808,1216532,1st innings,0,66,73/0,0,0,54,8.6,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,236779,Ishant Sharma,Delhi Capitals,,,297433,Jonny Bairstow,1,8.11
ipl20,100901,1216532,1st innings,0,65,77/0,0,0,55,9.1,4,0,0,False,,219889,David Warner,Sunrisers Hyderabad,31107,Amit Mishra,Delhi Capitals,,,297433,Jonny Bairstow,4,8.4
