ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1216514,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,308967,Jos Buttler,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,267192,Steven Smith,0,0.0
ipl20,100002,1216514,1st innings,0,118,4/0,0,0,2,0.2,4,0,0,False,,308967,Jos Buttler,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,267192,Steven Smith,4,12.0
ipl20,100003,1216514,1st innings,0,117,5/0,0,0,3,0.3,1,0,0,False,,308967,Jos Buttler,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,267192,Steven Smith,1,10.0
ipl20,100004,1216514,1st innings,0,116,5/0,0,0,4,0.4,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,308967,Jos Buttler,0,7.5
ipl20,100005,1216514,1st innings,0,115,5/0,0,0,5,0.5,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,308967,Jos Buttler,0,6.0
ipl20,100006,1216514,1st innings,0,114,9/0,0,0,6,0.6,4,0,0,False,,267192,Steven Smith,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,308967,Jos Buttler,4,9.0
ipl20,100101,1216514,1st innings,0,113,9/0,0,0,7,1.1,0,0,0,False,,308967,Jos Buttler,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,267192,Steven Smith,0,7.71
ipl20,100102,1216514,1st innings,0,112,13/0,0,0,8,1.2,4,0,0,False,,308967,Jos Buttler,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,267192,Steven Smith,4,9.75
ipl20,100103,1216514,1st innings,0,111,14/0,0,0,9,1.3,1,0,0,False,,308967,Jos Buttler,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,267192,Steven Smith,1,9.33
ipl20,100104,1216514,1st innings,0,110,15/0,0,0,10,1.4,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,308967,Jos Buttler,1,9.0
ipl20,100105,1216514,1st innings,0,109,15/0,0,0,11,1.5,0,0,0,False,,308967,Jos Buttler,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,267192,Steven Smith,0,8.18
ipl20,100106,1216514,1st innings,0,108,16/0,0,0,12,1.6,1,0,0,False,,308967,Jos Buttler,Rajasthan Royals,719715,Washington Sundar,Royal Challengers Bangalore,,,267192,Steven Smith,1,8.0
ipl20,100201,1216514,1st innings,0,107,22/0,0,0,13,2.1,6,0,0,False,,308967,Jos Buttler,Rajasthan Royals,328026,Isuru Udana,Royal Challengers Bangalore,,,267192,Steven Smith,6,10.15
