ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254083,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,0.0
ipl20,100002,1254083,1st innings,0,118,0/0,0,0,2,0.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,0.0
ipl20,100003,1254083,1st innings,0,117,1/0,0,0,3,0.3,1,0,0,False,,422108,KL Rahul,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,1,2.0
ipl20,100004,1254083,1st innings,0,116,2/0,0,0,4,0.4,1,0,0,False,,1161024,Prabhsimran Singh,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,422108,KL Rahul,1,3.0
ipl20,100005,1254083,1st innings,0,115,2/0,0,0,5,0.5,0,0,0,False,,422108,KL Rahul,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,2.4
ipl20,100006,1254083,1st innings,0,114,3/0,0,0,6,0.6,1,0,0,False,,422108,KL Rahul,Punjab Kings,826901,Daniel Sams,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,1,3.0
ipl20,100101,1254083,1st innings,0,113,3/0,0,0,7,1.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,2.57
ipl20,100102,1254083,1st innings,0,113,4/0,0,0,7,1.1,1,1,1,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,1,3.42
ipl20,100103,1254083,1st innings,0,112,4/0,0,0,8,1.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,3.0
ipl20,100104,1254083,1st innings,0,111,10/0,0,0,9,1.3,6,0,0,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,6,6.66
ipl20,100105,1254083,1st innings,0,110,10/0,0,0,10,1.4,0,0,0,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,0,6.0
ipl20,100106,1254083,1st innings,0,109,11/0,0,0,11,1.5,1,0,0,False,,422108,KL Rahul,Punjab Kings,940973,Mohammed Siraj,Royal Challengers Bangalore,,,1161024,Prabhsimran Singh,1,6.0
