ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254099,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,1,6.0
ipl20,100002,1254099,1st innings,0,118,2/0,0,0,2,0.2,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,1,6.0
ipl20,100003,1254099,1st innings,0,117,2/0,0,0,3,0.3,0,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,0,4.0
ipl20,100004,1254099,1st innings,0,116,2/0,0,0,4,0.4,0,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,0,3.0
ipl20,100005,1254099,1st innings,0,115,3/0,0,0,5,0.5,1,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,1,3.6
ipl20,100006,1254099,1st innings,0,114,4/0,0,0,6,0.6,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,1,4.0
ipl20,100101,1254099,1st innings,0,113,5/0,0,0,7,1.1,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,422108,KL Rahul,1,4.28
ipl20,100102,1254099,1st innings,0,113,6/0,0,0,7,1.1,1,1,1,False,,422108,KL Rahul,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,398506,Mandeep Singh,1,5.14
ipl20,100103,1254099,1st innings,0,112,7/0,0,0,8,1.2,1,0,0,False,,422108,KL Rahul,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,398506,Mandeep Singh,1,5.25
ipl20,100104,1254099,1st innings,0,111,8/0,0,0,9,1.3,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,422108,KL Rahul,1,5.33
ipl20,100105,1254099,1st innings,0,110,8/0,0,0,10,1.4,0,0,0,False,,422108,KL Rahul,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,398506,Mandeep Singh,0,4.8
ipl20,100106,1254099,1st innings,0,109,12/0,0,0,11,1.5,4,0,0,False,,422108,KL Rahul,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,398506,Mandeep Singh,4,6.54
ipl20,100107,1254099,1st innings,0,108,12/0,0,0,12,1.6,0,0,0,False,,422108,KL Rahul,Punjab Kings,277912,Trent Boult,Mumbai Indians,,,398506,Mandeep Singh,0,6.0
ipl20,100201,1254099,1st innings,0,107,13/0,0,0,13,2.1,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,1,6.0
ipl20,100202,1254099,1st innings,0,106,14/0,0,0,14,2.2,1,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,1,6.0
ipl20,100203,1254099,1st innings,0,106,15/0,0,0,14,2.2,1,1,1,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,1,6.42
ipl20,100204,1254099,1st innings,0,105,15/0,0,0,15,2.3,0,0,0,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,0,6.0
ipl20,100205,1254099,1st innings,0,104,16/0,0,0,16,2.4,1,0,0,False,,398506,Mandeep Singh,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,422108,KL Rahul,1,6.0
ipl20,100206,1254099,1st innings,0,103,17/0,0,0,17,2.5,1,0,0,False,,422108,KL Rahul,Punjab Kings,471342,Krunal Pandya,Mumbai Indians,,,398506,Mandeep Singh,1,6.0
