ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254107,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,0.0
ipl20,100002,1254107,1st innings,0,118,0/0,0,0,2,0.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,0.0
ipl20,100003,1254107,1st innings,0,117,1/0,0,0,3,0.3,1,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,1,2.0
ipl20,100004,1254107,1st innings,0,116,2/0,0,0,4,0.4,1,0,0,False,,398438,Mayank Agarwal,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,422108,KL Rahul,1,3.0
ipl20,100005,1254107,1st innings,0,115,3/0,0,0,5,0.5,1,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,1,3.6
ipl20,100006,1254107,1st innings,0,114,3/0,0,0,6,0.6,0,0,0,False,,398438,Mayank Agarwal,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,422108,KL Rahul,0,3.0
ipl20,100101,1254107,1st innings,0,113,3/0,0,0,7,1.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,2.57
ipl20,100102,1254107,1st innings,0,112,3/0,0,0,8,1.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,2.25
ipl20,100103,1254107,1st innings,0,111,7/0,0,0,9,1.3,4,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,4,4.66
ipl20,100104,1254107,1st innings,0,110,9/0,0,0,10,1.4,2,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,2,5.4
ipl20,100105,1254107,1st innings,0,109,10/0,0,0,11,1.5,1,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,1,5.45
ipl20,100106,1254107,1st innings,0,108,13/0,0,0,12,1.6,3,0,0,False,,398438,Mayank Agarwal,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,422108,KL Rahul,3,6.5
ipl20,100201,1254107,1st innings,0,107,14/0,0,0,13,2.1,1,0,0,False,,398438,Mayank Agarwal,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,422108,KL Rahul,1,6.46
ipl20,100202,1254107,1st innings,0,106,14/0,0,0,14,2.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,6.0
ipl20,100203,1254107,1st innings,0,105,14/0,0,0,15,2.3,0,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,5.6
ipl20,100204,1254107,1st innings,0,104,14/0,0,0,16,2.4,0,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,5.25
ipl20,100205,1254107,1st innings,0,103,18/0,0,0,17,2.5,4,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,4,6.35
ipl20,100206,1254107,1st innings,0,102,19/0,0,0,18,2.6,1,0,0,False,,422108,KL Rahul,Punjab Kings,438362,Sandeep Sharma,Sunrisers Hyderabad,,,398438,Mayank Agarwal,1,6.33
ipl20,100301,1254107,1st innings,0,101,19/0,0,0,19,3.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,6.0
ipl20,100302,1254107,1st innings,0,100,19/0,0,0,20,3.2,0,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,5.7
ipl20,100303,1254107,1st innings,0,99,19/0,0,0,21,3.3,0,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,0,5.42
ipl20,100304,1254107,1st innings,0,98,21/0,0,0,22,3.4,2,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,2,5.72
ipl20,100305,1254107,1st innings,0,97,25/0,0,0,23,3.5,4,0,0,False,,422108,KL Rahul,Punjab Kings,326016,Bhuvneshwar Kumar,Sunrisers Hyderabad,,,398438,Mayank Agarwal,4,6.52
