ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254080,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,1,6.0
ipl20,100002,1254080,1st innings,0,118,2/0,0,0,2,0.2,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,1,6.0
ipl20,100003,1254080,1st innings,0,118,3/0,0,0,2,0.2,1,1,1,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,1,9.0
ipl20,100004,1254080,1st innings,0,117,3/0,0,0,3,0.3,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,0,6.0
ipl20,100005,1254080,1st innings,0,116,3/0,0,0,4,0.4,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,0,4.5
ipl20,100006,1254080,1st innings,0,115,3/0,0,0,5,0.5,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,0,3.6
ipl20,100007,1254080,1st innings,0,114,3/0,0,0,6,0.6,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,0,3.0
ipl20,100101,1254080,1st innings,0,113,4/0,0,0,7,1.1,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,1,3.42
ipl20,100102,1254080,1st innings,0,112,6/0,0,0,8,1.2,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,2,4.5
ipl20,100103,1254080,1st innings,0,111,8/0,0,0,9,1.3,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,2,5.33
ipl20,100104,1254080,1st innings,0,110,8/0,0,0,10,1.4,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,0,4.8
ipl20,100105,1254080,1st innings,0,109,8/0,0,0,11,1.5,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,0,4.36
ipl20,100106,1254080,1st innings,0,108,9/0,0,0,12,1.6,1,0,1,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,1,4.5
ipl20,100201,1254080,1st innings,0,107,13/0,0,0,13,2.1,4,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,4,6.0
ipl20,100202,1254080,1st innings,0,106,14/0,0,0,14,2.2,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,1,6.0
ipl20,100203,1254080,1st innings,0,105,18/0,0,0,15,2.3,4,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,4,7.2
ipl20,100204,1254080,1st innings,0,104,19/0,0,0,16,2.4,1,0,0,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,1,7.12
ipl20,100205,1254080,1st innings,0,103,19/0,0,0,17,2.5,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,0,6.7
ipl20,100206,1254080,1st innings,0,102,20/0,0,0,18,2.6,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,297433,Jonny Bairstow,1,6.66
ipl20,100301,1254080,1st innings,0,101,21/0,0,0,19,3.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,297433,Jonny Bairstow,1,6.63
ipl20,100302,1254080,1st innings,0,101,22/0,0,0,19,3.1,1,1,1,False,,297433,Jonny Bairstow,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,1,6.94
ipl20,100303,1254080,1st innings,0,100,22/1,0,1,20,3.2,0,0,0,True,caught,297433,Jonny Bairstow,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,297433,Jonny Bairstow,219889,David Warner,0,6.6
ipl20,100304,1254080,1st innings,0,99,22/1,0,0,21,3.3,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,0,6.28
ipl20,100305,1254080,1st innings,0,98,24/1,0,0,22,3.4,2,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,2,6.54
ipl20,100306,1254080,1st innings,0,97,25/1,0,0,23,3.5,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,1,6.52
ipl20,100307,1254080,1st innings,0,96,25/1,0,0,24,3.6,0,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,0,6.25
ipl20,100401,1254080,1st innings,0,95,26/1,0,0,25,4.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,290630,Manish Pandey,1,6.24
ipl20,100402,1254080,1st innings,0,94,30/1,0,0,26,4.2,4,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,4,6.92
ipl20,100403,1254080,1st innings,0,93,30/1,0,0,27,4.3,0,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,0,6.66
ipl20,100404,1254080,1st innings,0,92,31/1,0,0,28,4.4,1,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,1,6.64
ipl20,100405,1254080,1st innings,0,91,32/1,0,0,29,4.5,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,290630,Manish Pandey,1,6.62
ipl20,100406,1254080,1st innings,0,90,32/1,0,0,30,4.6,0,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,447261,Deepak Chahar,Chennai Super Kings,,,219889,David Warner,0,6.4
ipl20,100501,1254080,1st innings,0,89,33/1,0,0,31,5.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,1,6.38
ipl20,100502,1254080,1st innings,0,88,37/1,0,0,32,5.2,4,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,4,6.93
ipl20,100503,1254080,1st innings,0,87,38/1,0,0,33,5.3,1,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,1,6.9
ipl20,100504,1254080,1st innings,0,86,38/1,0,0,34,5.4,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,0,6.7
ipl20,100505,1254080,1st innings,0,85,39/1,0,0,35,5.5,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,290630,Manish Pandey,1,6.68
ipl20,100506,1254080,1st innings,0,84,39/1,0,0,36,5.6,0,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,662973,Sam Curran,Chennai Super Kings,,,219889,David Warner,0,6.5
ipl20,100601,1254080,1st innings,0,83,40/1,0,0,37,6.1,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,290630,Manish Pandey,1,6.48
ipl20,100602,1254080,1st innings,0,82,41/1,0,0,38,6.2,1,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,219889,David Warner,1,6.47
ipl20,100603,1254080,1st innings,0,81,45/1,0,0,39,6.3,4,0,0,False,,219889,David Warner,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,290630,Manish Pandey,4,6.92
ipl20,100604,1254080,1st innings,0,80,45/1,0,0,40,6.4,0,0,0,False,,219889,David Warner,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,290630,Manish Pandey,0,6.75
ipl20,100605,1254080,1st innings,0,79,46/1,0,0,41,6.5,1,0,0,False,,219889,David Warner,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,290630,Manish Pandey,1,6.73
ipl20,100606,1254080,1st innings,0,78,47/1,0,0,42,6.6,1,0,0,False,,290630,Manish Pandey,Sunrisers Hyderabad,475281,Shardul Thakur,Chennai Super Kings,,,219889,David Warner,1,6.71
