ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1216496,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,0,0.0
ipl20,100002,1216496,1st innings,0,118,0/0,0,0,2,0.2,0,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,0,0.0
ipl20,100003,1216496,1st innings,0,117,1/0,0,0,3,0.3,1,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,1,2.0
ipl20,100004,1216496,1st innings,0,116,3/0,0,0,4,0.4,2,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,2,4.5
ipl20,100005,1216496,1st innings,0,115,3/0,0,0,5,0.5,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,0,3.6
ipl20,100006,1216496,1st innings,0,114,4/0,0,0,6,0.6,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,1,4.0
ipl20,100101,1216496,1st innings,0,113,4/0,0,0,7,1.1,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,0,3.42
ipl20,100102,1216496,1st innings,0,113,5/0,0,0,7,1.1,1,1,1,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,1,4.28
ipl20,100103,1216496,1st innings,0,112,5/0,0,0,8,1.2,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,0,3.75
ipl20,100104,1216496,1st innings,0,111,6/0,0,0,9,1.3,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,1,4.0
ipl20,100105,1216496,1st innings,0,110,7/0,0,0,10,1.4,1,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,1,4.2
ipl20,100106,1216496,1st innings,0,109,7/0,0,0,11,1.5,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,0,3.81
ipl20,100107,1216496,1st innings,0,108,7/0,0,0,12,1.6,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,1151278,Yashasvi Jaiswal,0,3.5
ipl20,100201,1216496,1st innings,0,107,11/0,0,0,13,2.1,4,0,0,False,,1151278,Yashasvi Jaiswal,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,4,5.07
ipl20,100202,1216496,1st innings,0,106,11/1,0,1,14,2.2,0,0,0,True,caught,1151278,Yashasvi Jaiswal,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,447261,Deepak Chahar,267192,Steven Smith,0,4.71
ipl20,100203,1216496,1st innings,0,105,12/1,0,0,15,2.3,1,0,0,False,,425943,Sanju Samson,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,1,4.8
ipl20,100204,1216496,1st innings,0,104,12/1,0,0,16,2.4,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,0,4.5
ipl20,100205,1216496,1st innings,0,103,16/1,0,0,17,2.5,4,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,4,5.64
ipl20,100206,1216496,1st innings,0,102,17/1,0,0,18,2.6,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,1,5.66
ipl20,100301,1216496,1st innings,0,101,23/1,0,0,19,3.1,6,0,0,False,,267192,Steven Smith,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,425943,Sanju Samson,6,7.26
ipl20,100302,1216496,1st innings,0,100,23/1,0,0,20,3.2,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,425943,Sanju Samson,0,6.9
ipl20,100303,1216496,1st innings,0,99,24/1,0,0,21,3.3,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,425943,Sanju Samson,1,6.85
ipl20,100304,1216496,1st innings,0,98,24/1,0,0,22,3.4,0,0,0,False,,425943,Sanju Samson,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,267192,Steven Smith,0,6.54
ipl20,100305,1216496,1st innings,0,97,24/1,0,0,23,3.5,0,0,0,False,,425943,Sanju Samson,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,267192,Steven Smith,0,6.26
ipl20,100306,1216496,1st innings,0,96,26/1,0,0,24,3.6,2,0,0,False,,425943,Sanju Samson,Rajasthan Royals,542023,Lungi Ngidi,Chennai Super Kings,,,267192,Steven Smith,2,6.5
ipl20,100401,1216496,1st innings,0,95,27/1,0,0,25,4.1,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,425943,Sanju Samson,1,6.48
ipl20,100402,1216496,1st innings,0,94,27/1,0,0,26,4.2,0,0,0,False,,425943,Sanju Samson,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,0,6.23
ipl20,100403,1216496,1st innings,0,93,31/1,0,0,27,4.3,4,0,0,False,,425943,Sanju Samson,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,4,6.88
ipl20,100404,1216496,1st innings,0,92,37/1,0,0,28,4.4,6,0,0,False,,425943,Sanju Samson,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,6,7.92
ipl20,100405,1216496,1st innings,0,91,39/1,0,0,29,4.5,2,0,0,False,,425943,Sanju Samson,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,2,8.06
ipl20,100406,1216496,1st innings,0,90,40/1,0,0,30,4.6,1,0,0,False,,425943,Sanju Samson,Rajasthan Royals,662973,Sam Curran,Chennai Super Kings,,,267192,Steven Smith,1,8.0
ipl20,100501,1216496,1st innings,0,89,41/1,0,0,31,5.1,1,0,0,False,,425943,Sanju Samson,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,1,7.93
ipl20,100502,1216496,1st innings,0,88,42/1,0,0,32,5.2,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,1,7.87
ipl20,100503,1216496,1st innings,0,87,48/1,0,0,33,5.3,6,0,0,False,,425943,Sanju Samson,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,6,8.72
ipl20,100504,1216496,1st innings,0,86,49/1,0,0,34,5.4,1,0,0,False,,425943,Sanju Samson,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,267192,Steven Smith,1,8.64
ipl20,100505,1216496,1st innings,0,85,53/1,0,0,35,5.5,4,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,4,9.08
ipl20,100506,1216496,1st innings,0,84,54/1,0,0,36,5.6,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,447261,Deepak Chahar,Chennai Super Kings,,,425943,Sanju Samson,1,9.0
ipl20,100601,1216496,1st innings,0,83,55/1,0,0,37,6.1,1,0,0,False,,267192,Steven Smith,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,425943,Sanju Samson,1,8.91
ipl20,100602,1216496,1st innings,0,82,61/1,0,0,38,6.2,6,0,0,False,,425943,Sanju Samson,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,267192,Steven Smith,6,9.63
ipl20,100603,1216496,1st innings,0,81,67/1,0,0,39,6.3,6,0,0,False,,425943,Sanju Samson,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,267192,Steven Smith,6,10.3
ipl20,100604,1216496,1st innings,0,80,67/1,0,0,40,6.4,0,0,0,False,,425943,Sanju Samson,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,267192,Steven Smith,0,10.05
ipl20,100605,1216496,1st innings,0,79,68/1,0,0,41,6.5,1,0,0,False,,425943,Sanju Samson,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,267192,Steven Smith,1,9.95
ipl20,100606,1216496,1st innings,0,78,68/1,0,0,42,6.6,0,0,0,False,,267192,Steven Smith,Rajasthan Royals,234675,Ravindra Jadeja,Chennai Super Kings,,,425943,Sanju Samson,0,9.71
