ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254098,1st innings,0,119,1/0,0,0,1,0.1,1,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,851403,Venkatesh Iyer,1,6.0
ipl20,100002,1254098,1st innings,0,118,2/0,0,0,2,0.2,1,0,0,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,1070173,Shubman Gill,1,6.0
ipl20,100003,1254098,1st innings,0,117,6/0,0,0,3,0.3,4,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,851403,Venkatesh Iyer,4,12.0
ipl20,100004,1254098,1st innings,0,116,10/0,0,0,4,0.4,4,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,851403,Venkatesh Iyer,4,15.0
ipl20,100005,1254098,1st innings,0,115,10/0,0,0,5,0.5,0,0,0,False,,1070173,Shubman Gill,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,851403,Venkatesh Iyer,0,12.0
ipl20,100006,1254098,1st innings,0,114,10/1,0,1,6,0.6,0,0,0,True,run out,1070173,Shubman Gill,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,447261,Deepak Chahar,851403,Venkatesh Iyer,0,10.0
ipl20,100101,1254098,1st innings,0,114,11/1,0,0,6,1.0,1,1,1,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,446763,Rahul Tripathi,1,11.0
ipl20,100102,1254098,1st innings,0,113,12/1,0,0,7,1.1,1,0,0,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,446763,Rahul Tripathi,1,10.28
ipl20,100103,1254098,1st innings,0,112,13/1,0,0,8,1.2,1,0,0,False,,446763,Rahul Tripathi,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,851403,Venkatesh Iyer,1,9.75
ipl20,100104,1254098,1st innings,0,111,13/1,0,0,9,1.3,0,0,0,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,446763,Rahul Tripathi,0,8.66
ipl20,100105,1254098,1st innings,0,110,14/1,0,0,10,1.4,1,0,0,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,446763,Rahul Tripathi,1,8.4
ipl20,100106,1254098,1st innings,0,109,18/1,0,0,11,1.5,4,0,0,False,,446763,Rahul Tripathi,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,851403,Venkatesh Iyer,4,9.81
ipl20,100107,1254098,1st innings,0,108,19/1,0,0,12,1.6,1,0,0,False,,446763,Rahul Tripathi,Kolkata Knight Riders,662973,Sam Curran,Chennai Super Kings,,,851403,Venkatesh Iyer,1,9.5
ipl20,100201,1254098,1st innings,0,107,20/1,0,0,13,2.1,1,0,0,False,,446763,Rahul Tripathi,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,851403,Venkatesh Iyer,1,9.23
ipl20,100202,1254098,1st innings,0,106,21/1,0,0,14,2.2,1,0,0,False,,851403,Venkatesh Iyer,Kolkata Knight Riders,447261,Deepak Chahar,Chennai Super Kings,,,446763,Rahul Tripathi,1,9.0
