ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1254096,1st innings,0,119,4/0,0,0,1,0.1,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,379143,Quinton de Kock,4,24.0
ipl20,100002,1254096,1st innings,0,118,4/0,0,0,2,0.2,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,379143,Quinton de Kock,0,12.0
ipl20,100003,1254096,1st innings,0,117,4/0,0,0,3,0.3,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,379143,Quinton de Kock,0,8.0
ipl20,100004,1254096,1st innings,0,116,4/0,0,0,4,0.4,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,379143,Quinton de Kock,0,6.0
ipl20,100005,1254096,1st innings,0,115,5/0,0,0,5,0.5,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,379143,Quinton de Kock,1,6.0
ipl20,100006,1254096,1st innings,0,114,5/0,0,0,6,0.6,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,604527,Nitish Rana,Kolkata Knight Riders,,,34102,Rohit Sharma,0,5.0
ipl20,100101,1254096,1st innings,0,113,5/0,0,0,7,1.1,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,0,4.28
ipl20,100102,1254096,1st innings,0,112,5/0,0,0,8,1.2,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,0,3.75
ipl20,100103,1254096,1st innings,0,112,6/0,0,0,8,1.2,1,1,1,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,1,4.5
ipl20,100104,1254096,1st innings,0,111,7/0,0,0,9,1.3,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,1,4.66
ipl20,100105,1254096,1st innings,0,110,7/0,0,0,10,1.4,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,34102,Rohit Sharma,0,4.2
ipl20,100106,1254096,1st innings,0,109,8/0,0,0,11,1.5,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,34102,Rohit Sharma,1,4.36
ipl20,100107,1254096,1st innings,0,108,9/0,0,0,12,1.6,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,1,4.5
ipl20,100201,1254096,1st innings,0,107,10/0,0,0,13,2.1,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,379143,Quinton de Kock,1,4.61
ipl20,100202,1254096,1st innings,0,106,11/0,0,0,14,2.2,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,34102,Rohit Sharma,1,4.71
ipl20,100203,1254096,1st innings,0,105,15/0,0,0,15,2.3,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,379143,Quinton de Kock,4,6.0
ipl20,100204,1254096,1st innings,0,104,16/0,0,0,16,2.4,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,379143,Quinton de Kock,1,6.0
ipl20,100205,1254096,1st innings,0,103,16/0,0,0,17,2.5,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,34102,Rohit Sharma,0,5.64
ipl20,100206,1254096,1st innings,0,102,20/0,0,0,18,2.6,4,0,0,False,,379143,Quinton de Kock,Mumbai Indians,230558,Sunil Narine,Kolkata Knight Riders,,,34102,Rohit Sharma,4,6.66
ipl20,100301,1254096,1st innings,0,101,24/0,0,0,19,3.1,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,4,7.57
ipl20,100302,1254096,1st innings,0,100,28/0,0,0,20,3.2,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,4,8.4
ipl20,100303,1254096,1st innings,0,99,28/0,0,0,21,3.3,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,0,8.0
ipl20,100304,1254096,1st innings,0,98,29/0,0,0,22,3.4,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,1108375,Varun Chakravarthy,Kolkata Knight Riders,,,379143,Quinton de Kock,1,7.9
