ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1216492,1st innings,0,119,4/0,0,0,1,0.1,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,379143,Quinton de Kock,4,24.0
ipl20,100002,1216492,1st innings,0,118,5/0,0,0,2,0.2,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,379143,Quinton de Kock,1,15.0
ipl20,100003,1216492,1st innings,0,117,7/0,0,0,3,0.3,2,0,0,False,,379143,Quinton de Kock,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,34102,Rohit Sharma,2,14.0
ipl20,100004,1216492,1st innings,0,116,11/0,0,0,4,0.4,4,0,0,False,,379143,Quinton de Kock,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,34102,Rohit Sharma,4,16.5
ipl20,100005,1216492,1st innings,0,115,11/0,0,0,5,0.5,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,34102,Rohit Sharma,0,13.2
ipl20,100006,1216492,1st innings,0,114,12/0,0,0,6,0.6,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,34102,Rohit Sharma,1,12.0
ipl20,100101,1216492,1st innings,0,113,12/0,0,0,7,1.1,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,34102,Rohit Sharma,0,10.28
ipl20,100102,1216492,1st innings,0,112,12/0,0,0,8,1.2,0,0,0,False,,379143,Quinton de Kock,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,34102,Rohit Sharma,0,9.0
ipl20,100103,1216492,1st innings,0,111,13/0,0,0,9,1.3,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,34102,Rohit Sharma,1,8.66
ipl20,100104,1216492,1st innings,0,110,17/0,0,0,10,1.4,4,0,0,False,,34102,Rohit Sharma,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,379143,Quinton de Kock,4,10.2
ipl20,100105,1216492,1st innings,0,109,18/0,0,0,11,1.5,1,0,0,False,,34102,Rohit Sharma,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,379143,Quinton de Kock,1,9.81
ipl20,100106,1216492,1st innings,0,108,19/0,0,0,12,1.6,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,662973,Sam Curran,Chennai Super Kings,,,34102,Rohit Sharma,1,9.5
ipl20,100201,1216492,1st innings,0,107,20/0,0,0,13,2.1,1,0,0,False,,379143,Quinton de Kock,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,34102,Rohit Sharma,1,9.23
ipl20,100202,1216492,1st innings,0,106,20/0,0,0,14,2.2,0,0,0,False,,34102,Rohit Sharma,Mumbai Indians,447261,Deepak Chahar,Chennai Super Kings,,,379143,Quinton de Kock,0,8.57
