matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
419121,535.5,702.5,11.0,0.23772241992882562,0.0
419122,360.5,647.5,9.0,,0.0
419123,648.0,701.0,11.0,0.07560627674750357,950.0
419124,419.0,681.5,11.0,0.38517975055025677,-50.0
419125,555.5,721.5,11.0,0.23007623007623007,0.0
419126,403.0,658.5,11.0,0.3880030372057707,-50.0
419127,351.5,735.5,11.0,0.522093813732155,-50.0
419128,265.0,608.0,11.0,0.5641447368421053,-50.0
419129,479.5,687.5,11.0,0.30254545454545456,-50.0
419130,686.0,900.5,11.0,0.23820099944475293,0.0
419131,568.5,802.5,11.0,0.29158878504672897,-50.0
419132,633.5,796.5,11.0,0.20464532328939108,0.0
419133,341.0,681.0,11.0,0.49926578560939794,-50.0
419134,533.0,737.0,10.0,,0.0
419135,619.0,760.0,10.0,,0.0
419136,361.5,581.5,11.0,0.37833190025795355,-50.0
419137,888.5,1037.5,11.0,0.14361445783132532,75.0
419138,470.0,692.0,11.0,0.3208092485549133,-50.0
419139,722.0,784.0,11.0,0.07908163265306123,950.0
419140,467.5,702.5,11.0,0.33451957295373663,-50.0
419141,739.5,894.5,11.0,0.1732811626607043,50.0
419142,490.5,622.5,11.0,0.21204819277108433,0.0
419143,314.5,634.5,11.0,0.5043341213553979,-50.0
419144,461.0,675.0,11.0,0.31703703703703706,-50.0
419145,393.0,771.0,11.0,0.490272373540856,-50.0
419146,471.0,739.5,11.0,0.3630831643002028,-50.0
419147,505.5,659.5,11.0,0.23351023502653526,0.0
419148,508.0,678.5,11.0,0.25128960943257184,-50.0
419149,389.0,635.5,11.0,0.3878835562549174,-50.0
419150,535.0,694.0,11.0,0.22910662824207492,0.0
419151,392.5,730.5,11.0,0.46269678302532513,-50.0
419152,369.0,567.0,11.0,0.3492063492063492,-50.0
419153,527.0,747.5,11.0,0.29498327759197324,-50.0
419154,200.0,536.0,11.0,0.6268656716417911,-50.0
419155,455.5,605.5,11.0,0.2477291494632535,0.0
419156,621.5,710.5,11.0,0.12526389866291343,75.0
419157,534.0,754.5,11.0,0.2922465208747515,-50.0
419158,412.0,667.5,11.0,0.38277153558052435,-50.0
419159,573.5,760.5,11.0,0.24589086127547666,0.0
419160,365.5,681.5,11.0,0.46368305209097577,-50.0
419161,511.0,582.0,11.0,0.12199312714776632,75.0
419162,459.0,731.5,11.0,0.3725222146274778,-50.0
419163,415.5,755.5,11.0,0.4500330906684315,-50.0
419164,500.0,674.0,11.0,0.258160237388724,-50.0
419165,500.0,661.0,11.0,0.24357034795763993,0.0
501198,474.0,673.5,11.0,0.2962138084632517,-50.0
501199,339.5,666.5,11.0,0.490622655663916,-50.0
501200,352.0,564.0,11.0,0.375886524822695,-50.0
501201,592.0,658.0,11.0,0.10030395136778116,75.0
501202,370.0,669.5,11.0,0.44734876773711724,-50.0
501203,401.5,673.5,11.0,0.4038604305864885,-50.0
501204,516.0,630.0,11.0,0.18095238095238095,50.0
501205,496.0,596.0,11.0,0.16778523489932887,50.0
501206,285.0,819.0,11.0,0.652014652014652,-50.0
501207,421.5,698.5,11.0,0.39656406585540444,-50.0
501208,453.0,731.0,11.0,0.3803009575923393,-50.0
501209,521.0,600.0,11.0,0.13166666666666665,75.0
501210,723.0,771.0,11.0,0.0622568093385214,950.0
501211,274.0,729.0,11.0,0.6241426611796982,-50.0
501212,237.0,863.5,11.0,0.7255356108859293,-50.0
501213,659.0,914.0,11.0,0.2789934354485777,-50.0
501214,341.0,517.0,11.0,0.3404255319148936,-50.0
501215,414.0,486.0,11.0,0.14814814814814814,75.0
501216,398.5,643.5,11.0,0.38073038073038074,-50.0
501218,471.5,666.5,11.0,0.29257314328582146,-50.0
501219,314.0,692.0,11.0,0.546242774566474,-50.0
501220,542.5,740.5,11.0,0.2673869007427414,-50.0
501221,482.0,870.0,11.0,0.4459770114942529,-50.0
501222,644.0,749.0,11.0,0.14018691588785046,75.0
501223,717.0,799.0,11.0,0.10262828535669587,75.0
501224,562.5,641.5,11.0,0.12314886983632112,75.0
501225,513.5,588.5,11.0,0.1274426508071368,75.0
501226,363.0,670.0,11.0,0.4582089552238806,-50.0
501227,548.5,676.5,11.0,0.18920916481892092,50.0
501228,577.5,650.5,11.0,0.11222136817832437,75.0
501229,614.5,869.5,11.0,0.293271995399655,-50.0
501230,570.5,641.5,11.0,0.11067809820732658,75.0
501231,198.0,630.0,11.0,0.6857142857142857,-50.0
501232,647.0,690.0,11.0,0.06231884057971015,950.0
501233,631.5,790.5,11.0,0.20113851992409867,0.0
501234,349.0,501.0,11.0,0.3033932135728543,-50.0
501235,431.0,607.5,11.0,0.2905349794238683,-50.0
501236,461.0,736.5,11.0,0.3740665308893415,-50.0
501237,638.5,724.5,11.0,0.11870255348516218,75.0
501238,268.0,476.0,11.0,0.4369747899159664,-50.0
501239,408.5,622.5,11.0,0.3437751004016064,-50.0
501240,560.5,681.5,11.0,0.17754952311078503,50.0
501241,459.5,721.5,11.0,0.36313236313236313,-50.0
501242,309.5,676.5,11.0,0.5424981522542498,-50.0
501243,614.0,843.0,11.0,0.27164887307236063,-50.0
501244,801.0,1025.0,11.0,0.21853658536585366,0.0
501245,321.0,427.0,11.0,0.24824355971896955,0.0
501246,570.0,786.0,11.0,0.2748091603053435,-50.0
501247,492.0,584.0,11.0,0.15753424657534246,50.0
501248,357.0,583.0,11.0,0.3876500857632933,-50.0
