matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points,total_points_avg
335982,MV Boucher,10.0,11.0,11.0,,1.0,4.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,nan,100.0,,1.0,0,101.0,,0,,0,0.0,101.0,
335982,Mohammad Hafeez,5.0,3.0,3.0,,1.0,3.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,All Rounder,25.0,,1.0,0,26.0,,0,,0,0.0,26.0,
335982,P Kumar,23.0,17.0,17.0,2.0,1.0,7.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,25.0,25.0,37.0,1.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.88,Bowler,529.0,4.0,1.0,0,534.0,,0,8.0,0,8.0,542.0,
335982,R Dravid,2.0,3.0,3.0,,,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,nan,4.0,,,0,4.0,,0,,0,0.0,4.0,
335982,RT Ponting,24.0,20.0,20.0,1.0,2.0,1.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,nan,576.0,2.0,2.0,0,580.0,,0,,0,0.0,580.0,
335982,SB Joshi,5.0,8.0,8.0,,,9.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,18.0,18.0,26.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.666666666666666,All Rounder,25.0,,,0,25.0,,0,0.0,0,0.0,25.0,
335982,SC Ganguly,12.0,12.0,12.0,,2.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,2.0,25.0,25.0,20.0,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,4.8,All Rounder,144.0,,2.0,0,146.0,50.0,4,0.0,0,54.0,200.0,
335982,V Kohli,5.0,5.0,5.0,,1.0,1.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,All Rounder,25.0,,1.0,0,26.0,,0,,0,0.0,26.0,
335982,W Jaffer,8.0,18.0,18.0,,,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,nan,64.0,,,0,64.0,,0,,0,0.0,64.0,
335982,Z Khan,3.0,8.0,8.0,,,8.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,24.0,24.0,38.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,9.5,Bowler,9.0,,,0,9.0,25.0,-2,0.0,0,23.0,32.0,
335983,B Lee,,,,,,,,,,1.0,25.0,25.0,34.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,8.16,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,
335983,IK Pathan,3.0,5.0,5.0,,,4.0,2nd innings,Kings XI Punjab,Chennai Super Kings,2.0,24.0,24.0,47.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,11.75,All Rounder,9.0,,,0,9.0,50.0,-6,0.0,0,44.0,53.0,
335983,JDP Oram,14.0,11.0,11.0,1.0,,4.0,1st innings,Chennai Super Kings,Kings XI Punjab,,24.0,24.0,37.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,9.25,All Rounder,196.0,2.0,,0,198.0,,-2,0.0,0,-2.0,196.0,
335983,JR Hopes,72.0,34.0,34.0,3.0,10.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,1.0,24.0,24.0,53.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,13.25,All Rounder,5184.0,6.0,10.0,8,5208.0,25.0,-6,0.0,0,19.0,5227.0,
335983,Joginder Sharma,,,,,,,,,,1.0,25.0,25.0,46.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,11.04,Bowler,,,,0,0.0,25.0,-6,0.0,0,19.0,19.0,
335983,K Goel,25.0,20.0,20.0,1.0,2.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,,12.0,12.0,25.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,12.5,All Rounder,625.0,2.0,2.0,0,629.0,,-6,0.0,0,-6.0,623.0,
335983,KC Sangakkara,60.0,35.0,35.0,2.0,5.0,1.0,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,nan,3600.0,4.0,5.0,8,3617.0,,0,,0,0.0,3617.0,
335983,M Muralitharan,,,,,,,,,,1.0,25.0,25.0,31.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,7.44,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,
335983,MEK Hussey,117.0,54.0,54.0,9.0,8.0,1.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,nan,13689.0,18.0,8.0,24,13739.0,,0,,0,0.0,13739.0,
335983,ML Hayden,27.0,17.0,17.0,1.0,3.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,nan,729.0,2.0,3.0,0,734.0,,0,,0,0.0,734.0,
335983,MS Dhoni,2.0,3.0,3.0,,,2.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,nan,4.0,,,0,4.0,,0,,0,0.0,4.0,
335983,MS Gony,,,,,,,,,,1.0,26.0,26.0,40.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,9.23076923076923,Bowler,,,,0,0.0,25.0,-2,0.0,0,23.0,23.0,
335983,P Amarnath,,,,,,,,,,1.0,24.0,24.0,42.0,0.0,2nd innings,Kings XI Punjab,Chennai Super Kings,10.5,Bowler,,,,0,0.0,25.0,-4,0.0,0,21.0,21.0,
335983,PA Patel,16.0,11.0,11.0,,3.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,nan,256.0,,3.0,0,259.0,,0,,0,0.0,259.0,
335983,PP Chawla,,,,,,,,,,,6.0,6.0,19.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,19.0,Bowler,,,,0,0.0,,-6,0.0,0,-6.0,-6.0,
335983,S Badrinath,31.0,14.0,14.0,2.0,3.0,5.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,nan,961.0,4.0,3.0,0,968.0,,0,,0,0.0,968.0,
335983,S Sreesanth,,,,,,,,,,,19.0,19.0,34.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,10.736842105263158,Bowler,,,,0,0.0,,-4,0.0,0,-4.0,-4.0,
335983,SK Raina,33.0,14.0,14.0,3.0,2.0,3.0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,All Rounder,1089.0,6.0,2.0,0,1097.0,,0,,0,0.0,1097.0,
335983,SM Katich,24.0,17.0,17.0,1.0,,3.0,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,nan,576.0,2.0,,0,578.0,,0,,0,0.0,578.0,
335983,WA Mota,,,,,,,,,,1.0,14.0,14.0,22.0,0.0,1st innings,Chennai Super Kings,Kings XI Punjab,9.428571428571429,All Rounder,,,,0,0.0,25.0,-2,0.0,0,23.0,23.0,
335983,Yuvraj Singh,23.0,13.0,13.0,2.0,1.0,2.0,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,All Rounder,529.0,4.0,1.0,0,534.0,,0,,0,0.0,534.0,
335984,B Geeves,,,,,,,,,,,24.0,24.0,41.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,10.25,Bowler,,,,0,0.0,,-4,0.0,0,-4.0,-4.0,
335984,D Salunkhe,26.0,20.0,20.0,,4.0,6.0,1st innings,Rajasthan Royals,Delhi Daredevils,,7.0,7.0,6.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,5.142857142857143,All Rounder,676.0,,4.0,0,680.0,,2,0.0,0,2.0,682.0,
335984,DL Vettori,,,,,,,,,,1.0,24.0,24.0,35.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,8.75,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,
335984,DS Lehmann,1.0,2.0,2.0,,,3.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,nan,1.0,,,0,1.0,,0,,0,0.0,1.0,
335984,G Gambhir,61.0,49.0,49.0,1.0,7.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,nan,3721.0,2.0,7.0,8,3738.0,,0,,0,0.0,3738.0,
335984,GD McGrath,,,,,,,,,,1.0,25.0,25.0,20.0,1.0,1st innings,Rajasthan Royals,Delhi Daredevils,4.8,Bowler,,,,0,0.0,25.0,4,8.0,0,37.0,37.0,
335984,M Kaif,11.0,19.0,19.0,,,2.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,nan,121.0,,,0,121.0,,0,,0,0.0,121.0,
335984,M Rawat,2.0,4.0,4.0,,,5.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,nan,4.0,,,0,4.0,,0,,0,0.0,4.0,
335984,MF Maharoof,,,,,,,,,,2.0,24.0,24.0,11.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,2.75,All Rounder,,,,0,0.0,50.0,6,0.0,0,56.0,56.0,
335984,MM Patel,,,,,,,,,,,18.0,18.0,25.0,0.0,2nd innings,Delhi Daredevils,Rajasthan Royals,8.333333333333334,Bowler,,,,0,0.0,,0,0.0,0,0.0,0.0,
335984,R Bhatia,,,,,,,,,,2.0,25.0,25.0,15.0,0.0,1st innings,Rajasthan Royals,Delhi Daredevils,3.6,Bowler,,,,0,0.0,50.0,6,0.0,0,56.0,56.0,
335984,RA Jadeja,33.0,24.0,24.0,2.0,2.0,4.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,All Rounder,1089.0,4.0,2.0,0,1095.0,,0,,0,0.0,1095.0,
