accuracy,rewards_earned
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
0.3566833452466047,-50.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
0.5673678226264923,-50.0
,0.0
,0.0
0.2634032634032634,-50.0
0.21496130696474636,0.0
0.12524209167204647,75.0
,0.0
0.21333333333333335,0.0
,0.0
,0.0
0.5650190114068441,-50.0
,0.0
0.329464861379755,-50.0
0.7125819916517591,-50.0
,0.0
0.585,-50.0
0.40035067212156633,-50.0
,0.0
0.31054545454545457,-50.0
0.4047093451066961,-50.0
,0.0
0.3502613890963405,-50.0
,0.0
0.46016381236038717,-50.0
0.2999157540016849,-50.0
0.16319824753559695,50.0
,0.0
0.3055872291904219,-50.0
0.3365695792880259,-50.0
0.667252489748096,-50.0
0.516783762685402,-50.0
,0.0
0.6209068010075567,-50.0
0.2686084142394822,-50.0
0.478330658105939,-50.0
0.312,-50.0
0.56792018419033,-50.0
0.17512161223071576,50.0
0.42784380305602715,-50.0
0.5257234726688103,-50.0
0.30971993410214166,-50.0
0.5424292845257903,-50.0
0.24398073836276082,0.0
0.2237960339943343,0.0
0.35488505747126436,-50.0
0.3372982158028887,-50.0
0.5782073813708261,-50.0
0.227994227994228,0.0
0.23365172667156503,0.0
0.4037122969837587,-50.0
0.0815347721822542,350.0
0.16006600660066006,50.0
0.14877192982456142,75.0
0.1590909090909091,50.0
0.16848220769789396,50.0
0.17104276069017255,50.0
0.47019867549668876,-50.0
0.39502332814930013,-50.0
0.6421568627450981,-50.0
0.5967130214917825,-50.0
0.24902216427640156,0.0
0.38397017707362535,-50.0
0.27450980392156865,-50.0
0.6469760900140648,-50.0
,0.0
0.5171909290416972,-50.0
0.45839210155148097,-50.0
0.24356435643564356,0.0
0.6357078449053201,-50.0
0.46609124537607893,-50.0
0.28141865844255975,-50.0
0.247537754432042,0.0
0.11376751854905194,75.0
0.16294349540078842,50.0
0.1710794297352342,50.0
0.38396624472573837,-50.0
0.3390928725701944,-50.0
0.2976776917663617,-50.0
0.23772241992882562,0.0
,0.0
0.07560627674750357,950.0
0.38517975055025677,-50.0
0.23007623007623007,0.0
0.3880030372057707,-50.0
0.522093813732155,-50.0
0.5641447368421053,-50.0
0.30254545454545456,-50.0
0.23820099944475293,0.0
0.29158878504672897,-50.0
