matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
335984,DS Lehmann,1,2,2,,,3,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,1,,,0,1,,0,,0,,1
335984,G Gambhir,61,49,49,1,7,0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,Batsmen,61,2,7,8,78,,0,,0,,78
335984,M Kaif,11,19,19,,,2,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,11,,,0,11,,0,,0,,11
335984,M Rawat,2,4,4,,,5,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335984,RA Jadeja,33,24,24,2,2,4,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,AllRounder,33,4,2,0,39,,0,,0,,39
335984,S Dhawan,59,44,44,,8,1,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,Batsmen,59,,8,8,75,,0,,0,,75
335984,SK Trivedi,3,7,7,,,8,1st innings,Rajasthan Royals,Delhi Daredevils,,21,21,29,0,2nd innings,Delhi Daredevils,Rajasthan Royals,8.285714286,Bowler,3,,,0,3,,0,0,0,0,3
335984,SK Warne,14,13,13,,2,7,1st innings,Rajasthan Royals,Delhi Daredevils,,12,12,16,0,2nd innings,Delhi Daredevils,Rajasthan Royals,8,Bowler,14,,2,0,16,,0,0,0,0,16
335984,SR Watson,21,15,15,,4,1,1st innings,Rajasthan Royals,Delhi Daredevils,1,25,25,30,0,2nd innings,Delhi Daredevils,Rajasthan Royals,7.2,AllRounder,21,,4,0,25,25,0,0,0,25,50
335984,T Kohli,8,13,13,1,,0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,8,2,,0,10,,0,,0,,10
335984,V Sehwag,12,4,4,,3,0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,Batsmen,12,,3,0,15,,0,,0,,15
335984,YK Pathan,10,5,5,,2,0,1st innings,Rajasthan Royals,Delhi Daredevils,,14,14,16,0,2nd innings,Delhi Daredevils,Rajasthan Royals,6.857142857,AllRounder,10,,2,0,12,,0,0,0,0,12
335985,AM Nayar,22,15,15,1,1,4,1st innings,Mumbai Indians,Royal Challengers Bangalore,,6,6,10,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,10,Batsmen,22,2,1,0,25,,-4,0,0,-4,21
335985,B Akhil,4,6,6,,,5,2nd innings,Royal Challengers Bangalore,Mumbai Indians,2,18,18,17,0,1st innings,Mumbai Indians,Royal Challengers Bangalore,5.666666667,Bowler,4,,,0,4,50,2,0,0,52,56
335985,DJ Thornely,5,6,6,,1,1,1st innings,Mumbai Indians,Royal Challengers Bangalore,,,,,,,,,,AllRounder,5,,1,0,6,,0,,0,,6
335985,Harbhajan Singh,2,2,2,,,6,1st innings,Mumbai Indians,Royal Challengers Bangalore,2,25,25,35,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,8.4,Bowler,2,,,0,2,50,0,0,0,50,52
335985,JH Kallis,25,24,24,1,,2,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,20,20,41,0,1st innings,Mumbai Indians,Royal Challengers Bangalore,12.3,AllRounder,25,2,,0,27,,-6,0,0,-6,21
335985,L Ronchi,8,10,10,,2,0,1st innings,Mumbai Indians,Royal Challengers Bangalore,,,,,,,,,,Batsmen,8,,2,0,10,,0,,0,,10
335985,LRPL Taylor,24,13,13,2,1,1,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,,,,,,,,,Batsmen,24,4,1,0,29,,0,,0,,29
335985,MV Boucher,40,20,20,2,4,4,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,,,,,,,,,Batsmen,40,4,4,0,48,,0,,0,,48
335985,PR Shah,21,23,23,,2,3,1st innings,Mumbai Indians,Royal Challengers Bangalore,,,,,,,,,,Batsmen,21,,2,0,23,,0,,0,,23
335985,R Dravid,32,33,33,,4,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,,,,,,,,,Batsmen,32,,4,0,36,,0,,0,,36
335985,RV Uthappa,49,38,38,1,5,2,1st innings,Mumbai Indians,Royal Challengers Bangalore,,,,,,,,,,Batsmen,49,2,5,0,56,,0,,0,,56
335985,S Chanderpaul,17,12,12,,3,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,,,,,,,,,Batsmen,17,,3,0,20,,0,,0,,20
335985,SM Pollock,28,12,12,2,3,5,1st innings,Mumbai Indians,Royal Challengers Bangalore,,24,24,17,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,4.25,AllRounder,28,4,3,0,35,,4,0,0,4,39
335985,ST Jayasuriya,30,17,17,1,5,0,1st innings,Mumbai Indians,Royal Challengers Bangalore,1,24,24,39,0,2nd innings,Royal Challengers Bangalore,Mumbai Indians,9.75,AllRounder,30,2,5,0,37,25,-2,0,0,23,60
335985,V Kohli,24,15,15,1,3,3,2nd innings,Royal Challengers Bangalore,Mumbai Indians,,,,,,,,,,Batsmen,24,2,3,0,29,,0,,0,,29
335986,A Symonds,35,41,41,2,2,2,1st innings,Deccan Chargers,Kolkata Knight Riders,,15,15,13,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,5.2,AllRounder,35,4,2,0,41,,2,0,0,2,43
335986,AC Gilchrist,26,24,24,2,1,0,1st innings,Deccan Chargers,Kolkata Knight Riders,,,,,,,,,,Batsmen,26,4,1,0,31,,0,,0,,31
335986,AS Yadav,11,10,10,1,,5,1st innings,Deccan Chargers,Kolkata Knight Riders,,,,,,,,,,Batsmen,11,2,,0,13,,0,,0,,13
335986,BB McCullum,5,5,5,,1,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,,,,,,,,,,Batsmen,5,,1,0,6,,0,,0,,6
335986,DJ Hussey,45,45,45,3,2,3,2nd innings,Kolkata Knight Riders,Deccan Chargers,1,19,19,34,0,1st innings,Deccan Chargers,Kolkata Knight Riders,10.73684211,Batsmen,45,6,2,0,53,25,-4,0,0,21,74
335986,LR Shukla,5,6,6,,,5,2nd innings,Kolkata Knight Riders,Deccan Chargers,,,,,,,,,,AllRounder,5,,,0,5,,0,,0,,5
335986,Mohammad Hafeez,14,13,13,1,1,4,2nd innings,Kolkata Knight Riders,Deccan Chargers,1,25,25,7,0,1st innings,Deccan Chargers,Kolkata Knight Riders,1.68,AllRounder,14,2,1,0,17,25,6,0,0,31,48
335986,RG Sharma,0,3,3,,,3,1st innings,Deccan Chargers,Kolkata Knight Riders,,,,,,,,,,Batsmen,0,,,-2,-2,,0,,0,,-2
335986,RP Singh,1,2,2,,,8,1st innings,Deccan Chargers,Kolkata Knight Riders,1,18,18,15,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,5,Bowler,1,,,0,1,25,4,0,0,29,30
335986,RT Ponting,0,1,1,,,2,2nd innings,Kolkata Knight Riders,Deccan Chargers,,,,,,,,,,Batsmen,0,,,-2,-2,,0,,0,,-2
335986,SB Bangar,14,10,10,1,1,6,1st innings,Deccan Chargers,Kolkata Knight Riders,,20,20,13,1,2nd innings,Kolkata Knight Riders,Deccan Chargers,3.9,Bowler,14,2,1,0,17,,6,8,0,14,31
335986,SB Styris,7,7,7,,1,4,1st innings,Deccan Chargers,Kolkata Knight Riders,,25,25,18,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,4.32,AllRounder,7,,1,0,8,,4,0,0,4,12
335986,SC Ganguly,29,35,35,,1,2,2nd innings,Kolkata Knight Riders,Deccan Chargers,,,,,,,,,,Batsmen,29,,1,0,30,,0,,0,,30
335986,VVS Laxman,0,6,6,,,1,1st innings,Deccan Chargers,Kolkata Knight Riders,,,,,,,,,,Batsmen,0,,,-2,-2,,0,,0,,-2
335986,WP Saha,14,17,17,,2,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,,,,,,,,,,Batsmen,14,,2,0,16,,0,,0,,16
335986,WPUJC Vaas,0,1,1,,,8,1st innings,Deccan Chargers,Kolkata Knight Riders,2,18,18,9,0,2nd innings,Kolkata Knight Riders,Deccan Chargers,3,Bowler,0,,,-2,-2,50,6,0,0,56,54
335986,Y Venugopal Rao,16,14,14,,1,0,1st innings,Deccan Chargers,Kolkata Knight Riders,,,,,,,,,,Batsmen,16,,1,0,17,,0,,0,,17
