year,error,rewards_earned
2008,0.3341323482377742,1250.0
2009,0.35326976989143166,3975.0
2010,0.3229851763998355,4275.0
2011,0.3100747385438133,287025.0
2012,0.3280349362881629,-375.0
2013,0.31400718586811915,350.0
2014,0.34725380506194986,-1525.0
2015,0.3311180963747853,625.0
2016,0.3384040934898077,-1425.0
2017,0.37935871969722706,-1650.0
2018,0.3719860020763709,-1350.0
2019,0.3671547386597938,4500.0
